DATE,OPEN,HIGH,LOW,CLOSE
6/14/2010,27.94,28.72,26.98,28.58
6/15/2010,27.68,27.84,25.68,25.87
6/16/2010,26.72,26.72,25.34,25.92
6/17/2010,25.59,26.64,25.05,25.05
6/18/2010,24.87,24.88,23.3,23.95
6/21/2010,22.9,25.64,22.87,24.88
6/22/2010,25.14,27.05,24.41,27.05
6/23/2010,26.93,28.55,26.54,26.91
6/24/2010,27.61,30.27,27.53,29.74
6/25/2010,29.64,30.41,28.07,28.53
6/28/2010,29.2,29.9,28.47,29
6/29/2010,31.22,35.39,31.22,34.13
6/30/2010,33.95,34.63,31.74,34.54
7/1/2010,34.41,37.58,32.72,32.86
7/2/2010,31.71,31.88,29.35,30.12
7/6/2010,28.82,31.15,27.96,29.65
7/7/2010,29.56,29.56,26.84,26.84
7/8/2010,26.5,27.42,24.22,25.71
7/9/2010,25.35,25.67,24.37,24.98
7/12/2010,24.66,25.14,23.53,24.43
7/13/2010,23.29,24.57,23.12,24.56
7/14/2010,24.61,25.8,24.18,24.89
7/15/2010,25.08,27.24,24.74,25.14
7/16/2010,25.77,28.16,25.71,26.25
7/19/2010,27.02,27.3,25.12,25.97
7/20/2010,27.35,27.4,23.79,23.93
7/21/2010,23.61,26.63,23.59,25.64
7/22/2010,24.37,24.85,23.72,24.63
7/23/2010,24.79,25.17,23.32,23.47
7/26/2010,24.37,24.61,22.7,22.73
7/27/2010,21.89,23.57,21.86,23.19
7/28/2010,23.93,24.54,22.24,24.25
7/29/2010,23.4,25.54,23.04,24.13
7/30/2010,25.47,27.32,23.35,23.5
8/2/2010,23.07,23.24,21.74,22.01
8/3/2010,22.44,23.06,21.98,22.63
8/4/2010,22.69,23.69,22.16,22.21
8/5/2010,23.04,23.13,22.07,22.1
8/6/2010,23.34,23.89,21.72,21.74
8/9/2010,21.85,22.87,21.36,22.14
8/10/2010,23.3,24.24,22.17,22.37
8/11/2010,24.96,26.1,24.96,25.39
8/12/2010,27.21,27.21,25.18,25.73
8/13/2010,26.08,26.26,25.45,26.24
8/16/2010,27.41,28.1,25.38,26.1
8/17/2010,24.72,24.89,23.71,24.33
8/18/2010,24.3,25.23,23.4,24.59
8/19/2010,24.48,26.78,24.26,26.44
8/20/2010,26.73,27,25.49,25.49
8/23/2010,25.97,25.97,24.62,25.66
8/24/2010,27.91,28.77,26.32,27.46
8/25/2010,28.3,28.92,26.46,26.7
8/26/2010,26.45,27.55,25.86,27.37
8/27/2010,26.5,28.11,24.41,24.45
8/30/2010,25.88,27.21,25.41,27.21
8/31/2010,27.58,27.83,25.93,26.05
9/1/2010,25.13,25.13,23.86,23.89
9/2/2010,24.23,24.31,23.15,23.19
9/3/2010,21.99,22.78,21.24,21.31
9/7/2010,22.77,23.94,22.77,23.8
9/8/2010,23.51,23.56,22.92,23.25
9/9/2010,22.22,23.24,22.14,22.81
9/10/2010,22.64,22.87,21.76,21.99
9/13/2010,21.06,22.05,20.93,21.21
9/14/2010,21.69,21.97,20.85,21.56
9/15/2010,22.55,22.8,22.1,22.1
9/16/2010,22.65,22.83,21.71,21.72
9/17/2010,21.65,22.56,21.63,22.01
9/20/2010,22.47,22.58,21.25,21.5
9/21/2010,21.54,22.59,21.42,22.35
9/22/2010,22.56,23.19,21.91,22.51
9/23/2010,23.91,24.06,22.56,23.87
9/24/2010,22.61,22.61,21.71,21.71
9/27/2010,22.58,22.75,21.97,22.54
9/28/2010,22.92,24.28,22.4,22.6
9/29/2010,23.14,23.45,22.72,23.25
9/30/2010,22.85,24.52,22.39,23.7
10/1/2010,22.9,23.67,22.46,22.5
10/4/2010,23.63,24.34,23.3,23.53
10/5/2010,22.52,23.08,21.71,21.76
10/6/2010,21.82,22.13,21.46,21.49
10/7/2010,21.31,22.16,21.28,21.56
10/8/2010,21.58,21.64,20.29,20.71
10/11/2010,19.33,19.51,18.8,18.96
10/12/2010,20,20.1,18.55,18.93
10/13/2010,17.92,19.16,17.9,19.07
10/14/2010,19.59,21.02,19.4,19.88
10/15/2010,20.2,21.59,19.02,19.03
10/18/2010,20.43,20.71,18.88,19.09
10/19/2010,20.7,21.35,19.33,20.63
10/20/2010,21.2,21.2,19.67,19.79
10/21/2010,19.7,20.53,18.93,19.27
10/22/2010,19.36,19.36,18.76,18.78
10/25/2010,19.22,19.88,18.86,19.85
10/26/2010,20.52,21.01,20.22,20.22
10/27/2010,21.11,22.37,20.69,20.71
10/28/2010,20.28,21.41,20.18,20.88
10/29/2010,21.2,21.4,20.86,21.2
11/1/2010,21.65,22.54,20.92,21.83
11/2/2010,21.34,21.82,21.22,21.57
11/3/2010,21.66,22.02,19.54,19.56
11/4/2010,18.03,18.8,17.97,18.52
11/5/2010,18.07,18.44,17.92,18.26
11/8/2010,19.33,19.35,18.21,18.29
11/9/2010,18.51,19.39,17.83,19.08
11/10/2010,18.94,19.96,18.41,18.47
11/11/2010,19.44,19.75,18.48,18.64
11/12/2010,19.59,21.23,19.29,20.61
11/15/2010,20.33,20.37,19.14,20.2
11/16/2010,21.26,23.07,20.95,22.58
11/17/2010,22.19,22.21,21.22,21.76
11/18/2010,20.31,20.31,18.75,18.75
11/19/2010,19.15,19.72,17.76,18.04
11/22/2010,19.45,20.14,18.35,18.37
11/23/2010,20.25,21.45,20.24,20.63
11/24/2010,19.42,19.61,18.73,19.56
11/26/2010,21.17,22.22,20.28,22.22
11/29/2010,23.15,23.84,21.38,21.53
11/30/2010,23.27,23.79,22.42,23.54
12/1/2010,21.19,21.43,20.4,21.36
12/2/2010,21.13,21.13,19.1,19.39
12/3/2010,19.26,19.28,17.71,18.01
12/6/2010,18.8,18.85,17.95,18.02
12/7/2010,17.13,18.15,17.13,17.99
12/8/2010,17.97,18.32,17.69,17.74
12/9/2010,17.32,17.84,17.24,17.25
12/10/2010,17.06,17.63,17.06,17.61
12/13/2010,16.82,17.67,16.68,17.55
12/14/2010,17.6,17.95,17.22,17.61
12/15/2010,17.99,18.14,17.37,17.94
12/16/2010,18.03,18.27,16.88,17.39
12/17/2010,17.62,17.64,15.46,16.11
12/20/2010,16.22,16.86,15.78,16.41
12/21/2010,16.2,16.62,16.08,16.49
12/22/2010,16.52,16.56,15.45,15.45
12/23/2010,15.44,16.86,15.4,16.47
12/27/2010,18.26,18.32,17.66,17.67
12/28/2010,17.3,17.99,17.3,17.52
12/29/2010,17.49,17.49,17.02,17.28
12/30/2010,17.65,17.89,17.46,17.52
12/31/2010,17.91,18.13,17.75,17.75
1/3/2011,17.94,17.95,16.91,17.61
1/4/2011,17.34,18.24,17.33,17.38
1/5/2011,17.81,17.95,16.86,17.02
1/6/2011,16.8,17.56,16.79,17.4
1/7/2011,17.31,18.07,16.57,17.14
1/10/2011,18.35,18.63,17.54,17.54
1/11/2011,16.61,17.35,16.6,16.89
1/12/2011,16.26,16.5,16.17,16.24
1/13/2011,16.51,16.78,16.14,16.39
1/14/2011,16.67,16.71,15.37,15.46
1/18/2011,16.19,16.2,15.71,15.87
1/19/2011,15.89,17.67,15.86,17.31
1/20/2011,17.81,18.85,17.65,17.99
1/21/2011,17.03,18.61,16.6,18.47
1/24/2011,18.78,18.93,17.56,17.65
1/25/2011,18.22,18.55,17.59,17.59
1/26/2011,17,17.42,16.59,16.64
1/27/2011,16.84,16.89,15.81,16.15
1/28/2011,15.94,20.08,15.92,20.04
1/31/2011,19.61,19.96,17.1,19.53
2/1/2011,18.59,18.63,17.4,17.63
2/2/2011,17.82,17.84,17.28,17.3
2/3/2011,17.53,17.8,16.61,16.69
2/4/2011,16.64,16.74,15.89,15.93
2/7/2011,16.14,16.54,15.84,16.28
2/8/2011,16.29,16.6,14.86,15.81
2/9/2011,16.27,16.52,15.86,15.87
2/10/2011,16.74,17.07,16,16.09
2/11/2011,16.53,16.53,15.55,15.69
2/14/2011,16.07,16.26,15.22,15.95
2/15/2011,16.3,16.75,16.27,16.37
2/16/2011,16.31,16.74,15.84,16.72
2/17/2011,17.01,17.3,15.88,16.59
2/18/2011,16.59,16.91,15.54,16.43
2/22/2011,19.46,21.45,18.38,20.8
2/23/2011,20.84,23.22,20.3,22.13
2/24/2011,22.28,22.71,20.81,21.32
2/25/2011,20.41,20.44,18.88,19.22
2/28/2011,19.12,19.27,18.14,18.35
3/1/2011,17.63,21.01,17.63,21.01
3/2/2011,20.73,21.14,19.62,20.7
3/3/2011,19.27,19.27,18.25,18.6
3/4/2011,18.56,20.33,18.31,19.06
3/7/2011,19.37,21.77,18.95,20.66
3/8/2011,20.58,21.06,19.15,19.82
3/9/2011,20.05,20.96,19.41,20.22
3/10/2011,21.37,22.25,20.34,21.88
3/11/2011,21.72,21.75,19.97,20.08
3/14/2011,21.79,22.74,20.92,21.13
3/15/2011,25.66,25.72,23.31,24.32
3/16/2011,24.65,31.28,24.04,29.4
3/17/2011,26.94,27.54,25.44,26.37
3/18/2011,23.9,24.85,23.09,24.44
3/21/2011,22.1,22.16,20.22,20.61
3/22/2011,20.53,20.59,19.97,20.21
3/23/2011,20.59,21.05,18.19,19.17
3/24/2011,18.45,18.99,17.87,18
3/25/2011,17.87,18.08,17.07,17.91
3/28/2011,18.31,19.44,17.96,19.44
3/29/2011,19.17,19.78,18,18.16
3/30/2011,17.82,17.89,17.25,17.71
3/31/2011,17.9,17.95,17.41,17.74
4/1/2011,16.68,17.62,16.44,17.4
4/4/2011,17.63,17.85,17.39,17.5
4/5/2011,17.87,17.87,16.5,17.25
4/6/2011,16.75,17.15,16.5,16.9
4/7/2011,16.92,17.77,16.49,17.11
4/8/2011,16.51,18.33,16.51,17.87
4/11/2011,16.74,17.05,16.22,16.59
4/12/2011,17.58,18.46,16.88,17.09
4/13/2011,16.33,17.38,16.2,16.92
4/14/2011,17.77,18.08,16.08,16.27
4/15/2011,15.97,15.98,14.92,15.32
4/18/2011,18.3,19.07,16.81,16.96
4/19/2011,16.62,16.72,15.69,15.83
4/20/2011,14.31,15.39,14.3,15.07
4/21/2011,14.71,15.23,14.4,14.69
4/25/2011,15.64,16.06,15.5,15.77
4/26/2011,15.36,15.66,15.07,15.62
4/27/2011,15.37,16.42,15.13,15.35
4/28/2011,15.54,15.54,14.27,14.62
4/29/2011,14.56,14.99,14.49,14.75
5/2/2011,15.07,16.13,15.07,15.99
5/3/2011,16.35,17.29,16.13,16.7
5/4/2011,16.84,17.72,16.83,17.08
5/5/2011,17.68,19.11,16.74,18.2
5/6/2011,17.17,19.29,16.12,18.4
5/9/2011,18.59,18.59,17.04,17.16
5/10/2011,16.84,16.9,15.79,15.91
5/11/2011,16.27,17.49,16.23,16.95
5/12/2011,17.27,17.89,16.03,16.03
5/13/2011,16.02,17.56,15.98,17.07
5/16/2011,17.86,18.25,16.61,18.24
5/17/2011,18.54,19.09,17.47,17.55
5/18/2011,17.56,17.68,16.03,16.23
5/19/2011,15.9,16.56,15.5,15.52
5/20/2011,15.88,17.43,15.7,17.43
5/23/2011,20.03,20.03,17.47,18.27
5/24/2011,18.07,18.19,17,17.82
5/25/2011,18.26,18.26,16.7,17.07
5/26/2011,17.17,17.46,15.9,16.09
5/27/2011,16.11,16.27,15.36,15.98
5/31/2011,15.85,16.5,15.15,15.45
6/1/2011,15.95,18.48,15.95,18.3
6/2/2011,17.92,18.72,17.39,18.09
6/3/2011,18.23,19.87,17.12,17.95
6/6/2011,18.42,18.65,17.65,18.49
6/7/2011,18.13,18.48,17.39,18.07
6/8/2011,18.15,18.83,17.72,18.79
6/9/2011,18.2,18.31,17.26,17.77
6/10/2011,17.93,19.16,17.93,18.86
6/13/2011,19.1,20.02,18.41,19.61
6/14/2011,18.56,18.56,17.8,18.26
6/15/2011,19.31,21.66,19.03,21.32
6/16/2011,21.37,24.65,20.81,22.73
6/17/2011,21.56,22.39,20.35,21.85
6/20/2011,22.99,23.08,19.99,19.99
6/21/2011,19.46,19.46,17.72,18.86
6/22/2011,18.86,18.9,17.72,18.52
6/23/2011,20.23,21.5,19.22,19.29
6/24/2011,19.2,21.28,19.1,21.1
6/27/2011,21.6,21.82,20.27,20.56
6/28/2011,20.3,20.45,19.17,19.17
6/29/2011,18.62,18.83,16.32,17.27
6/30/2011,16.67,16.77,15.88,16.52
7/1/2011,16.06,16.29,15.12,15.87
7/5/2011,16.32,16.5,15.89,16.06
7/6/2011,16.46,17.08,16.32,16.34
7/7/2011,15.3,16.13,15.3,15.95
7/8/2011,17.14,17.14,15.95,15.95
7/11/2011,17.44,19.06,17.16,18.39
7/12/2011,19.55,20.13,18.25,19.87
7/13/2011,19.08,20.16,18.09,19.91
7/14/2011,20.08,21.58,19.35,20.8
7/15/2011,20.25,21.68,19.52,19.53
7/18/2011,21.25,21.93,20.9,20.95
7/19/2011,20.14,20.43,19.12,19.21
7/20/2011,18.81,19.65,18.61,19.09
7/21/2011,18.61,18.63,17.15,17.56
7/22/2011,17.22,17.95,17.14,17.52
7/25/2011,19.26,19.5,18.73,19.35
7/26/2011,19.75,20.5,19.56,20.23
7/27/2011,20.87,23.2,20.87,22.98
7/28/2011,22.83,23.99,21.2,23.74
7/29/2011,25.28,25.94,23.65,25.25
8/1/2011,22.63,25.63,22.46,23.66
8/2/2011,24.22,24.79,22.65,24.79
8/3/2011,23.58,25.23,22.76,23.38
8/4/2011,24.57,32.07,24.31,31.66
8/5/2011,28.48,39.25,27.54,32
8/8/2011,36.9,48,35.29,48
8/9/2011,42.12,47.56,34.28,35.06
8/10/2011,39.33,44.41,37.34,42.99
8/11/2011,41.94,42.88,37.5,39
8/12/2011,37.08,37.85,34.01,36.36
8/15/2011,34.73,34.83,31.47,31.87
8/16/2011,33.36,34.49,31.68,32.85
8/17/2011,32.09,33.32,30.81,31.58
8/18/2011,36.77,45.28,36.69,42.67
8/19/2011,45.34,45.4,39.99,43.05
8/22/2011,38.8,43.58,38.78,42.44
8/23/2011,41.89,42.54,35.83,36.27
8/24/2011,37.12,37.38,34.55,35.9
8/25/2011,34.43,40.14,34.05,39.76
8/26/2011,41.18,43.84,34.33,35.59
8/29/2011,33.81,33.81,32.21,32.28
8/30/2011,32.97,33.55,31.55,32.89
8/31/2011,31.2,32.53,30.16,31.62
9/1/2011,31.91,32.38,30.76,31.82
9/2/2011,34.29,34.74,32.7,33.92
9/6/2011,39.84,39.86,37,37
9/7/2011,34.24,34.7,33.38,33.38
9/8/2011,34.41,34.71,32.79,34.32
9/9/2011,35.53,40.74,35.53,38.52
9/12/2011,42.56,43.18,38.58,38.59
9/13/2011,38.68,39.43,36.69,36.91
9/14/2011,36.59,37.76,33.4,34.6
9/15/2011,33.43,33.98,31.75,31.97
9/16/2011,31.81,32.48,30.43,30.98
9/19/2011,34.8,35.33,32.35,32.73
9/20/2011,32.42,33.14,31.45,32.86
9/21/2011,33,37.32,32.45,37.32
9/22/2011,41,43.87,39.33,41.35
9/23/2011,42.17,42.82,40.42,41.25
9/26/2011,40.99,43.34,39.02,39.02
9/27/2011,36.59,38.57,35.32,37.71
9/28/2011,37.7,41.24,36.65,41.08
9/29/2011,38.62,42,38.03,38.84
9/30/2011,40.93,42.99,39.88,42.96
10/3/2011,44.25,45.55,41.51,45.45
10/4/2011,46.18,46.88,40.02,40.82
10/5/2011,40.73,41.2,37.51,37.81
10/6/2011,38.24,38.74,36.15,36.27
10/7/2011,35.67,37.82,35.19,36.2
10/10/2011,35.45,35.45,32.96,33.02
10/11/2011,33.95,34.24,32.62,32.86
10/12/2011,31.57,31.93,29.79,31.26
10/13/2011,31.99,32.76,30.48,30.7
10/14/2011,29.07,29.96,28.08,28.24
10/17/2011,30.35,33.39,30.12,33.39
10/18/2011,33.37,34.71,29.69,31.56
10/19/2011,32.92,35.47,31.91,34.44
10/20/2011,34.44,36.87,34.16,34.78
10/21/2011,32.76,32.98,31.32,31.32
10/24/2011,31.67,31.7,28.84,29.26
10/25/2011,30.68,32.46,30.32,32.22
10/26/2011,30.44,33.3,29.63,29.86
10/27/2011,24.72,26.46,24.7,25.46
10/28/2011,26.02,26.02,24.44,24.53
10/31/2011,27.09,29.97,27.01,29.96
11/1/2011,36.03,37.53,33.87,34.77
11/2/2011,33.53,34.27,32.55,32.74
11/3/2011,31.38,34.65,30.21,30.5
11/4/2011,31.46,32.56,30.14,30.16
11/7/2011,31.4,32.15,29.85,29.85
11/8/2011,29.34,30.49,27.47,27.48
11/9/2011,31.32,36.43,30.98,36.16
11/10/2011,33.09,35.5,32.12,32.81
11/11/2011,29.91,30.42,29.45,30.04
11/14/2011,31.42,32.85,31.13,31.13
11/15/2011,31.74,32.55,30.4,31.22
11/16/2011,32.66,33.51,30.54,33.51
11/17/2011,33.15,36.46,32.89,34.51
11/18/2011,33.16,33.99,31.92,32
11/21/2011,34.59,35.29,32.53,32.91
11/22/2011,33.12,33.39,31.28,31.97
11/23/2011,32.91,34.57,32.68,33.98
11/25/2011,34.61,34.77,33.12,34.47
11/28/2011,31.93,33.11,31.57,32.13
11/29/2011,31.76,32.02,30.56,30.64
11/30/2011,27.72,28.5,27.03,27.8
12/1/2011,27.63,27.89,26.64,27.41
12/2/2011,26.26,27.62,25.29,27.52
12/5/2011,26.74,28.31,26,27.84
12/6/2011,27.91,28.13,27.41,28.13
12/7/2011,28.61,29.58,28.44,28.67
12/8/2011,29.63,30.91,29.02,30.59
12/9/2011,29.61,29.61,26.29,26.38
12/12/2011,26.78,27.73,25.64,25.67
12/13/2011,24.72,26.28,23.27,25.41
12/14/2011,26.16,27.55,25.76,26.04
12/15/2011,24.38,25.28,24.14,25.11
12/16/2011,24.16,25.02,23.51,24.29
12/19/2011,25.14,25.38,24.38,24.92
12/20/2011,23.56,23.58,22.54,23.22
12/21/2011,22.52,23.94,21.12,21.43
12/22/2011,21.08,21.33,20.34,21.16
12/23/2011,21.1,21.21,20.72,20.73
12/27/2011,22.58,22.66,21.68,21.91
12/28/2011,22.12,23.56,22.11,23.52
12/29/2011,23.52,23.52,22.65,22.65
12/30/2011,22.86,23.46,22.65,23.4
1/3/2012,22.95,23.1,22.54,22.97
1/4/2012,23.44,23.73,22.22,22.22
1/5/2012,22.75,23.09,21.34,21.48
1/6/2012,21.24,21.72,20.58,20.63
1/9/2012,21.67,21.78,21,21.07
1/10/2012,20.14,20.69,20.05,20.69
1/11/2012,21.18,21.22,20.98,21.05
1/12/2012,21.01,22.03,20.46,20.47
1/13/2012,21.41,22.43,20.91,20.91
1/17/2012,20.9,22.25,20.69,22.2
1/18/2012,23.2,23.44,20.78,20.89
1/19/2012,20.49,20.87,19.45,19.87
1/20/2012,19.91,19.94,18.16,18.28
1/23/2012,19.22,19.31,18.55,18.67
1/24/2012,19.76,20,18.63,18.91
1/25/2012,19.35,19.55,17.15,18.31
1/26/2012,17.96,19.17,16.8,18.57
1/27/2012,19.16,19.16,18.26,18.53
1/30/2012,20.33,20.33,19.38,19.4
1/31/2012,19.07,19.84,18.13,19.44
2/1/2012,18.68,18.82,17.99,18.55
2/2/2012,18.38,18.5,17.98,17.98
2/3/2012,16.84,17.32,16.1,17.1
2/6/2012,17.98,18.02,16.11,17.76
2/7/2012,17.93,18.1,17.5,17.65
2/8/2012,17.79,18.46,17.53,18.16
2/9/2012,18.12,18.72,18.07,18.63
2/10/2012,20.1,21.98,19.02,20.79
2/13/2012,19.64,19.68,17.92,19.04
2/14/2012,19.45,20.76,18.95,19.54
2/15/2012,19.74,21.77,19.44,21.14
2/16/2012,21.59,21.76,19.22,19.22
2/17/2012,18.73,18.79,17.54,17.78
2/21/2012,18.41,18.94,17.65,18.19
2/22/2012,18.85,18.94,17.74,18.19
2/23/2012,18.73,18.97,16.64,16.8
2/24/2012,16.68,17.62,16.42,17.31
2/27/2012,19.1,19.25,17.58,18.19
2/28/2012,18.67,18.67,17.88,17.96
2/29/2012,17.8,18.75,17.53,18.43
3/1/2012,18.02,18.03,17.26,17.26
3/2/2012,17.65,17.65,17.14,17.29
3/5/2012,18.27,18.9,18.02,18.05
3/6/2012,20.57,21.24,20.3,20.87
3/7/2012,20.43,20.44,19.07,19.07
3/8/2012,18.08,18.46,17.76,17.95
3/9/2012,17.16,17.54,16.63,17.11
3/12/2012,15.79,16.67,15.23,15.64
3/13/2012,14,16.08,13.99,14.8
3/14/2012,14.42,16.19,14.39,15.31
3/15/2012,15.32,16.06,14.58,15.42
3/16/2012,14.43,15.24,13.66,14.47
3/19/2012,15.42,15.43,14.54,15.04
3/20/2012,15.82,15.95,15.11,15.58
3/21/2012,14.72,15.31,14.19,15.13
3/22/2012,16.04,16.58,15.56,15.57
3/23/2012,15.65,16.39,14.69,14.82
3/26/2012,14.51,15.03,14.26,14.26
3/27/2012,14.52,15.59,14.14,15.59
3/28/2012,15.58,17.27,15.4,15.47
3/29/2012,16.84,17.2,15.39,15.48
3/30/2012,14.88,15.98,14.67,15.5
4/2/2012,16.35,16.58,15.02,15.64
4/3/2012,15.61,16.65,15.56,15.66
4/4/2012,17.07,17.74,16.31,16.44
4/5/2012,17.02,17.13,16.29,16.7
4/9/2012,18.94,18.94,17.93,18.81
4/10/2012,19.1,21.06,18.62,20.39
4/11/2012,19.22,20.12,18.73,20.02
4/12/2012,19.63,19.74,17.2,17.2
4/13/2012,17.95,19.62,17.85,19.55
4/16/2012,18.87,20.42,18.6,19.55
4/17/2012,18.66,18.66,17.58,18.46
4/18/2012,19.02,19.17,17.7,18.64
4/19/2012,18.51,19.69,17.69,18.36
4/20/2012,17.92,18.05,16.97,17.44
4/23/2012,20.22,20.27,18.95,18.97
4/24/2012,19.22,19.22,18.09,18.1
4/25/2012,17.05,17.38,16.82,16.82
4/26/2012,16.97,17.04,15.75,16.24
4/27/2012,15.83,16.47,15.83,16.32
4/30/2012,17.04,17.41,16.92,17.15
5/1/2012,17.27,17.49,16.01,16.6
5/2/2012,17.25,17.63,16.78,16.88
5/3/2012,16.9,17.92,16.73,17.56
5/4/2012,18.03,19.28,17.81,19.16
5/7/2012,19.8,19.87,18.41,18.94
5/8/2012,19.44,20.91,17.95,19.05
5/9/2012,20.65,21.59,19.38,20.08
5/10/2012,19.25,19.88,18.77,18.83
5/11/2012,19.93,19.94,18.62,19.89
5/14/2012,21.47,21.87,20.94,21.87
5/15/2012,21.43,22.7,20.76,21.97
5/16/2012,21.54,22.69,20.83,22.27
5/17/2012,21.99,24.51,21.87,24.49
5/18/2012,23.27,25.14,23.07,25.1
5/21/2012,24.88,24.88,22.01,22.01
5/22/2012,21.76,23.19,19.98,22.48
5/23/2012,23.32,24.62,21.99,22.33
5/24/2012,22,23.22,21.48,21.54
5/25/2012,22.05,22.29,21.3,21.76
5/29/2012,21.7,22.47,20.99,21.03
5/30/2012,22.68,24.14,22.66,24.14
5/31/2012,23.83,25.46,22.78,24.06
6/1/2012,25.87,26.71,23.94,26.66
